Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Heggenduizendknoop,Hegge Duizend-knoop,Fallopia dumetorum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/40/zoom/3/lat/-68.52823492039876/lng/-50.625
Peperkers,Peper Kers,Lepidium latifolium,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/57/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Klein kaasjeskruid,Rondbladige Malowe,Malva neglecta,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/63/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Knikkende distel,Knikkende Distel,Carduus nutans,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/73/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Pijpbloem,Gemeene Osterlucie,Aristolochia clematitis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/81/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Ruw beemdgras,Gemeen Beemdgras,Poa trivialis,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/14/zoom/3/lat/-69.162557908105/lng/-39.19921875
Koningskaars,Wolbladige Toorts,Verbascum thapsus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/30/zoom/3/lat/-69.162557908105/lng/-39.19921875
Wegedoorn,Gemeene Wegedoorn,Rhamnus cathartica,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/31/zoom/3/lat/-69.162557908105/lng/-39.19921875
Dalkruid,Tweebladig Dalkruid,Maianthemum bifolium,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/38/zoom/3/lat/-69.162557908105/lng/-39.19921875
Watermunt,Water Munt,Mentha aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/49/zoom/3/lat/-69.162557908105/lng/-39.19921875
Rankende helmbloem,Geklaauwierde Duiven-Kervel,Ceratocapnos claviculata,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/58/zoom/3/lat/-69.162557908105/lng/-39.19921875
Kattendoorn,Gedoornd Stalkruid,Ononis spinosa subsp. spinosa,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/60/zoom/3/lat/-69.162557908105/lng/-39.19921875
Paardenbloem,Gemeene Paardebloem,Taraxacum sect. Ruderalia,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/71/zoom/3/lat/-69.162557908105/lng/-39.19921875
Jakobskruiskruid,Jakobs Kruiskruid,Jacobaea vulgaris subsp. vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/81/zoom/3/lat/-69.162557908105/lng/-39.19921875
Veenreukgras,Ruikend Zorgh-gras,Hierochloe odorata,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/88/zoom/3/lat/-69.162557908105/lng/-39.19921875
Buntgras,Grijzende Windhalm,Corynephorus canescens,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/13/zoom/3/lat/-69.162557908105/lng/-39.19921875
Zandhaver,Gemeene Zandhaver,Leymus arenarius,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/18/zoom/3/lat/-69.162557908105/lng/-39.19921875
Penningkruid,Rondbladige Wederik,Lysimachia nummularia,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/26/zoom/3/lat/-69.162557908105/lng/-39.19921875
Engels gras,Gemeen Strandkruid,Armeria maritima,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/36/zoom/3/lat/-69.162557908105/lng/-39.19921875
Zuurbes,Gemeene Berberis,Berberis vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/40/zoom/3/lat/-69.162557908105/lng/-39.19921875
Vlasbekje,Vlas Leeuwenbek,Linaria vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/54/zoom/3/lat/-69.162557908105/lng/-39.19921875
Vlasbekje (pelorisch),Wanschapenheid van de Vlas-Leeuwenbek,Linaria vulgaris 'Peloria',https://galerij.kb.nl/kb.html#/nl/florabatava03/page/55/zoom/3/lat/-69.162557908105/lng/-39.19921875
Vogelwikke,Vogel Wikke,Vicia cracca,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/65/zoom/3/lat/-69.162557908105/lng/-39.19921875
Schermhavikskruid,Kroonbloemig Haviks-Kruid,Hieracium umbellatum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/72/zoom/3/lat/-69.162557908105/lng/-39.19921875
Wilde bertram,Bertram Duizendblad,Achillea ptarmica,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/82/zoom/3/lat/-69.162557908105/lng/-39.19921875
Bosgierstgras,Uitgebreid Gierst-Gras,Milium effusum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/11/zoom/3/lat/-69.162557908105/lng/-39.19921875
Grote watereppe,Breedbladige Water-Eppe,Sium latifolium,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/35/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewone rolklaver,Gehoornde Rol-Klaver,Lotus corniculatus subsp. corniculatus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/66/zoom/3/lat/-69.162557908105/lng/-39.19921875
Knikkend tandzaad,Neerbuigend Tandzaad,Bidens cernua,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/76/zoom/3/lat/-69.162557908105/lng/-39.19921875
Boerenwormkruid,Gemeene Reinevaren,Tanacetum vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/77/zoom/3/lat/-69.162557908105/lng/-39.19921875
Knopbies,Zwartachtige Knop-Bies,Schoenus nigricans,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/10/zoom/3/lat/-69.162557908105/lng/-39.19921875
Grote kaardebol,Gemeene Kaarde-Bol,Dipsacus fullonum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/19/zoom/3/lat/-69.162557908105/lng/-39.19921875
Rond wintergroen,Randbladig Wintergroen,Pyrola rotundifolia,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/42/zoom/3/lat/-69.162557908105/lng/-39.19921875
Wilde weit,Akker Zwart-Koorn,Melampyrum arvense,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/53/zoom/3/lat/-69.162557908105/lng/-39.19921875
Wondklaver,Gemeen Wondkruid,Anthyllis vulneraria,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/62/zoom/3/lat/-69.162557908105/lng/-39.19921875
Glad walstro,Wit Walstroo,Galium mollugo,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/22/zoom/3/lat/-69.162557908105/lng/-39.19921875
Slangenkruid,,Echium vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/25/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewone veldbies,Veld Bloembies,Luzula campestris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/39/zoom/3/lat/-69.162557908105/lng/-39.19921875
Rode ogentroost,Roode Oogentroost,Odontites vernus subsp. serotinus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/52/zoom/3/lat/-69.162557908105/lng/-39.19921875
Tuinbingelkruid,Eenjarig Bingelkruid,Mercurialis annua,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/87/zoom/3/lat/-69.162557908105/lng/-39.19921875
Grondster,Gekranste Hard-Kelk,Illecebrum verticillatum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/33/zoom/3/lat/-69.162557908105/lng/-39.19921875
Bolderik,Gemeene Bolderik,Agrostemma githago,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/44/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewone vleugeltjesbloem,Gemeene Kruisbloem,Polygala vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/59/zoom/3/lat/-69.162557908105/lng/-39.19921875
Groot hoefblad,Bastaard Hoefblad,Petasites hybridus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/79/zoom/3/lat/-69.162557908105/lng/-39.19921875
Klein kruiskruid,Gemeen Kruiskruid,Senecio vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/80/zoom/3/lat/-69.162557908105/lng/-39.19921875
Engels raaigras,Gemeen Raij-gras,Lolium perenne,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/17/zoom/3/lat/-69.162557908105/lng/-39.19921875
Haagwinde,Haag Winde,Convolvulus sepium,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/27/zoom/3/lat/-69.162557908105/lng/-39.19921875
Rapunzelklokje,Persikbladig Klokje,Campanula rapunculus ,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/28/zoom/3/lat/-69.162557908105/lng/-39.19921875
Aardaker,Aard-Aker Latyrus,Lathyrus tuberosus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/63/zoom/3/lat/-69.162557908105/lng/-39.19921875
Grote egelskop,Getakte Egels-kop,Sparganium erectum subsp. erectum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/86/zoom/3/lat/-69.162557908105/lng/-39.19921875
Goudhaver,Geelbloemige Haver,Trisetum flavescens,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/15/zoom/3/lat/-69.162557908105/lng/-39.19921875
Groot spiegelklokje,Spiegelvormend Klokje,Legousia speculum-veneris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/29/zoom/3/lat/-69.162557908105/lng/-39.19921875
Wit vetkruid,Wit Huis-look,Sedum album,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/43/zoom/3/lat/-69.162557908105/lng/-39.19921875
Witte munt,Bosch Munt,Mentha suaveolens,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/48/zoom/3/lat/-69.162557908105/lng/-39.19921875
Moeraswespenorchis,Langbladig Nieskruid,Epipactis palustris,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/85/zoom/3/lat/-69.162557908105/lng/-39.19921875
Bochtige smele,Bochtige Wind-Halm,Deschampsia flexuosa,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/12/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewone steenraket,Violierachtig Steen-Raket,Erysimum cheiranthoides,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/57/zoom/3/lat/-69.162557908105/lng/-39.19921875
Veldlathyrus,Veld Layrus,Lathyrus pratensis,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/64/zoom/3/lat/-69.162557908105/lng/-39.19921875
Echt bitterkruid,Ruwbladig Bitterkruid,Picris hieracioides,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/69/zoom/3/lat/-69.162557908105/lng/-39.19921875
Dwergviltkruid,Akker Roer-Kruid,Logfia minima,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/78/zoom/3/lat/-69.162557908105/lng/-39.19921875
Moerasvergeet-mij-nietje,Water Muizen-Oor,Myosotis scorpioides,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/23/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewone smeerwortel,Gemeene Smeerwortel,Symphytum officinale,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/24/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewoon varkensgras,Vogel Duizendknoop,Polygonum aviculare,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/41/zoom/3/lat/-69.162557908105/lng/-39.19921875
Kruipend stalkruid,Akker Stalkruid,Ononis spinosa subsp. repens,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/61/zoom/3/lat/-69.162557908105/lng/-39.19921875
Akkerkool,Gemeene Akker-Kool,Lapsana communis,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/73/zoom/3/lat/-69.162557908105/lng/-39.19921875
Blauwe knoop,Moeras Schurftkruid,Succisa pratensis,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/20/zoom/3/lat/-69.162557908105/lng/-39.19921875
Beenbreek,Moeras Antericum,Narthecium ossifragum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/37/zoom/3/lat/-69.162557908105/lng/-39.19921875
Wilde marjolein,Gemeene Orego,Origanum vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/51/zoom/3/lat/-69.162557908105/lng/-39.19921875
Duizendblad,Gemeen Duizend-Blad,Achillea millefolium,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/83/zoom/3/lat/-69.162557908105/lng/-39.19921875
Welriekende nachtorchis,Tweebladig Standelkruid,Platanthera bifolia,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/84/zoom/3/lat/-69.162557908105/lng/-39.19921875
Zoete kers,Krieke Pruim,Prunus avium,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/45/zoom/3/lat/-69.162557908105/lng/-39.19921875
Grote varkenskers,Herts-Hoorn Lepelkruid,Lepidium coronopus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/56/zoom/3/lat/-69.162557908105/lng/-39.19921875
Sikkelklaver,Gekromde Hoorn-Klaver,Medicago falcata,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/67/zoom/3/lat/-69.162557908105/lng/-39.19921875
Hopklaver,Hoppe Rupsklaver,Medicago lupulina,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/68/zoom/3/lat/-69.162557908105/lng/-39.19921875
Kruldistel,Gekrulde Distel,Carduus crispus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/74/zoom/3/lat/-69.162557908105/lng/-39.19921875
Riet,Dek-Riet,Phragmites australis,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/16/zoom/3/lat/-69.162557908105/lng/-39.19921875
Sporkehout,"Vuilboom, Wege-Doorn",Rhamnus frangula,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/32/zoom/3/lat/-69.162557908105/lng/-39.19921875
Strandbiet,Zee Biet,Beta vulgaris subsp. maritima,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/34/zoom/3/lat/-69.162557908105/lng/-39.19921875
Stinkende ballote,Zwarte Ballote,Ballota nigra subsp. meridionalis,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/50/zoom/3/lat/-69.162557908105/lng/-39.19921875
Gewone melkdistel,Moes Melk-Distel,Sonchus oleraceus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/70/zoom/3/lat/-69.162557908105/lng/-39.19921875
Veldsla,Salade Valeriaan,Valerianella locusta,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/9/zoom/3/lat/-69.162557908105/lng/-39.19921875
Duifkruid,Duiven Schurftkruid,Scabiosa columbaria,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/21/zoom/3/lat/-69.162557908105/lng/-39.19921875
Stinkende gouwe,Stinkende Gouwe,Chelidonium majus,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/46/zoom/3/lat/-69.162557908105/lng/-39.19921875
Egelboterbloem,Egel Ranonkel,Ranunculus flammula,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/47/zoom/3/lat/-69.162557908105/lng/-39.19921875
Spaanse ruiter,Ongelijkbladige Veld-Distel,Cirsium dissectum,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/75/zoom/3/lat/-69.162557908105/lng/-39.19921875
Zanddoddegras,Zand Kanarij-gras,Phleum arenarium,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/12/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Ruwe iep,Gemeene Olm,Ulmus glabra,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/24/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Knikkende vogelmelk,Knikkend Vogelmelk,Ornithogalum nutans,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/32/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Schorrenzoutgras,Zee Zout-gras,Triglochin maritima,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/33/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Groenknolorchis,Loesels Weekkruid,Liparis loeselii,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/81/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Wilde narcis,Gemeene Narcis,Narcissus pseudonarcissus subsp. pseudonarcissus,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/31/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Grote waterweegbree,Gemeene Water-Weegbree,Alisma plantago-aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/34/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Bosanemoon,Bosch Anemone,Anemone nemorosa,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/52/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Wild kattenkruid,Gemeen Katte-Kruid,Nepeta cataria,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/56/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Zwarte mosterd,Zwarte Mostaard,Brassica nigra,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/64/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Veldsalie,Veld Salie,Salvia pratensis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/11/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Waterscheerling,Vergiftige Water-Scheerling,Cicuta virosa,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/27/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Grote muur,Gemeen Tril-gras,Stellaria holostea,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/41/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Grote klit,Gemeene Klit,Arctium lappa,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/72/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Kleine egelskop,Eenvoudige Egels-Kop,Sparganium emersum,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/83/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Bevertjes,Gemeen Tril-gras,Briza media,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/14/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Zeeweegbree,Zee weeg-bree,Plantago maritima,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/19/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Fijne kervel,Kervelaardig Doornzaad,Anthriscus caucalis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/25/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Gewone hoornbloem,Gemeen Oogentroost,Cerastium fontanum subsp. vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/42/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Blaartrekkende boterbloem,Blaar-trekkende Ranonkel,Ranunculus sceleratus,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/53/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Liesgras,Water Beemd-gras,Glyceria maxima,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/13/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Grote weegbree,Groote Weegbree,Plantago major,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/17/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Hartgespan,Gemeen Hartsgespan,Leonurus cardiaca,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/59/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Paarse morgenster,Preij-bladige Boksbaard,Tragopogon porrifolius,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/70/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Scherpe fijnstraal,Scherpe Fijnstraal,Erigeron acris,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/74/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Biestarwegras,Biesachtige Tarwe,Elymus farctus subsp. boreoatlanticus,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/16/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Karwij,Gemeene Karwei,Carum carvi,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/28/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Selderij,Sellerij Eppe,Apium graveolens,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/29/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Slanke wikke,Vierzadige Linze,Vicia tetrasperma subsp. gracilis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/67/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Kleverig kruiskruid,Kleverig Kruiskruid,Senecio viscosus,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/75/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
,Hard Zwenk-Gras,Festuca ovina-groep,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/15/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Kleine hardbloem,Overblijvende Hard-Bloem,Scleranthus annuus subsp. polycarpos,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/38/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Speerdistel,Speer Distel,Cirsium vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/73/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Honingorchis,Eenbollig Tweeblad,Herminium monorchis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/80/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Kleine lisdodde,Smalbladige Lischdodde,Typha angustifolia,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/82/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Strandduizendguldenkruid,Gentiaan Chironie,Centaureum littorale,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/22/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Adderwortel,Beemd Duizendknoop,Persicaria bistorta,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/36/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Heemst,Gemeene Heemst,Althaea officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/65/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Kleine leeuwentand,Ruwe Paarde-Bloem,Leontodon saxatilis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/71/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Gelobde melde,Slippige Melde,Atriplex laciniata,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/86/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Grasklokje,Rondbladig Klokje,Campanula rotundifolia,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/20/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Vogelmuur,Gemeene Muur,Stellaria media,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/30/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
(Smalle of slanke) waterweegbree,Ranonkelachtige Water-Weegbree,Alisma (gramineum of lanceolatum),https://galerij.kb.nl/kb.html#/nl/florabatava04/page/35/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Stinkende kamille,Stinkende Kamille,Anthemis cotula,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/78/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Pijlkruid,Gemeen Pijlkruid,Sagittaria sagittifolia,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/85/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Schildereprijs,Schildzadige Eerenprijs,Veronica scutellata,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/9/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Zwanenbloem,Gemeen Waterlisch,Butomus umbellatus,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/37/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Dauwbraam,Blaauwe Braambes,Rubus caesius,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/49/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Akkerboterbloem,Akker Ranonkel,Ranunculus arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/54/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
Echte kamille,Kamille Moederkruid,Matricaria chamomilla,https://galerij.kb.nl/kb.html#/nl/florabatava04/page/77/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999
