plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_25_0100L,25,Russula adusta,Russula densifolia,Russula,densifolia,Fungi,Hygrophoraceae,Lorkenslijmkop,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/24/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Russula densifolia
KW_T_423_25_0102L,25,Rubus apricus,Rubus spec.,Rubus,spec.,Fungi,Hygrophoraceae,Slijmkop spec.,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/24/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Rubus spec.
KW_T_423_25_0104L,25,Thlaspi perfoliatum,Noccaea perfoliata,Noccaea,perfoliata,Fungi,Pleurotaceae,Kruisdisteloesterzwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/26/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Noccaea perfoliata
KW_T_423_25_0106L,25,Boletus flavus,Suillus grevillei,Suillus,grevillei,Flowering plants,Apiaceae,Knolribzaad,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/27/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Suillus grevillei
KW_T_423_25_0108L,25,Cordiceps capitata / Typhula phacorrhiza,Elaphocordyceps capitata s.l. / Typhula phacorrhiza,Elaphocordyceps / Typhula,capitata s.l. / phacorrhiza,Flowering plants,Amaranthaceae / Thelephoraceae,Quinoa / Gespleten franjezwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/29/zoom/3/lat/-69.53451763078357/lng/-18.544921875,True,Elaphocordyceps capitata s.l. / Typhula phacorrhiza
KW_T_423_25_0111L,25,Silene stricta,Silene stricta,Silene,stricta,Fungi,Cantharellaceae,Kleine trompetzwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/30/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Silene stricta
KW_T_423_25_0113L,25,Flammula flavida,Flammula alnicola,Flammula,alnicola,Fungi,Russulaceae,Gwimperde melkzwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/32/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Flammula alnicola
KW_T_423_25_0115L,25,Oenanthe pimpinelloides,Oenanthe pimpinelloides,Oenanthe,pimpinelloides,Fungi,Phaeolaceae,Dennenvoetzwam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/33/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Oenanthe pimpinelloides
KW_T_423_25_0117L,25,Pholiota radicosa,Hebeloma radicosum,Hebeloma,radicosum,Conifers,Pinaceae,Europese lork,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/34/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Hebeloma radicosum
KW_T_423_25_0119L,25,Claudopus variabilis,Crepidotus variabilis s.l.,Crepidotus,variabilis s.l.,Flowering plants,Rosaceae,Kale pluimbraam,https://galerij.kb.nl/kb.html#/nl/florabatava25/page/35/zoom/3/lat/-69.53451763078357/lng/-18.45703125,False,Crepidotus variabilis s.l.
